City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cedral,23.8,-100.7333,16.38,85,91,3.09,MX,1699932594
1,waitangi,-43.9535,-176.5597,13.31,89,4,9.38,NZ,1699932595
2,ulanhot,46.0833,122.0833,2.57,32,2,2.3,CN,1699932334
3,utrik,11.2278,169.8474,28.09,81,100,7.99,MH,1699932594
4,opuwo,-18.0607,13.84,24.51,26,53,0.96,NA,1699932569
5,adamstown,-25.066,-130.1015,23.01,85,100,8.28,PN,1699932556
6,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699932597
7,mazara del vallo,37.6641,12.588,17.97,87,9,3.65,IT,1699932597
8,blackmans bay,-43.0167,147.3167,15.85,56,13,5.39,AU,1699932564
9,ushuaia,-54.8,-68.3,1.81,75,0,2.06,AR,1699932324
10,ust-nera,64.5667,143.2,-27.78,97,55,2.3,RU,1699932599
11,talnakh,69.4865,88.3972,-20.83,98,42,3.4,RU,1699932599
12,invercargill,-46.4,168.35,12.23,91,85,6.71,NZ,1699932595
13,berezovyy,51.6667,135.7,-4.03,46,0,1.15,RU,1699932603
14,olonkinbyen,70.9221,-8.7187,-1.44,74,98,3.45,SJ,1699932323
15,tshikapa,-6.4167,20.8,19.9,95,100,0.99,CD,1699932605
16,kruisfontein,-34.0033,24.7314,11.23,91,47,2.51,ZA,1699932590
17,edinburgh of the seven seas,-37.0676,-12.3116,13.46,77,12,11.23,SH,1699932323
18,nyurba,63.2842,118.3319,-9.15,95,100,2.89,RU,1699932608
19,semnan,35.5729,53.3971,13.82,43,92,0.45,IR,1699932609
20,shakhovskaya,56.0283,35.5097,1.97,98,100,3.75,RU,1699932609
21,longyearbyen,78.2186,15.6401,-11.09,85,100,3.6,SJ,1699932556
22,prado,-17.3411,-39.2208,23.93,85,47,5.8,BR,1699932612
23,tommot,58.9564,126.2925,-9.56,87,99,0.48,RU,1699932613
24,college,64.8569,-147.8028,-3.03,90,100,0.0,US,1699932613
25,port-aux-francais,-49.35,70.2167,6.53,97,100,15.17,TF,1699932598
26,port elizabeth,-33.918,25.5701,16.16,84,75,4.63,ZA,1699932615
27,thompson,55.7435,-97.8558,-2.91,93,75,1.54,CA,1699932616
28,carnarvon,-24.8667,113.6333,22.92,63,92,4.41,AU,1699932617
29,posto fiscal rolim de moura,-13.0833,-62.2667,23.87,90,79,1.87,BR,1699932618
30,margaret river,-33.95,115.0667,19.21,67,100,4.92,AU,1699932473
31,gokceada,40.2011,25.909,6.6,58,25,1.82,TR,1699932619
32,tazovsky,67.4667,78.7,-18.02,98,54,3.45,RU,1699932620
33,bethel,41.3712,-73.414,3.85,82,0,2.06,US,1699932553
34,khandyga,62.6667,135.6,-23.45,96,64,1.1,RU,1699932622
35,ilulissat,69.2167,-51.1,-3.99,63,100,6.17,GL,1699932623
36,kolonia town,6.964,158.206,30.06,74,100,4.12,FM,1699932623
37,iqaluit,63.7506,-68.5145,-17.95,64,0,2.06,CA,1699932624
38,praia da vitoria,38.7333,-27.0667,16.53,94,40,2.17,PT,1699932625
39,stanley,54.868,-1.6985,7.06,92,99,3.09,GB,1699932564
40,west island,-12.1568,96.8225,28.99,70,40,4.63,CC,1699932614
41,hadibu,12.65,54.0333,26.92,83,76,4.79,YE,1699932618
42,bilibino,68.0546,166.4372,-29.18,100,100,1.0,RU,1699932629
43,catarman,12.4989,124.6377,27.49,89,100,4.33,PH,1699932629
44,bol'shoye kozino,56.4045,43.7147,5.59,88,75,6.0,RU,1699932630
45,ouadda,8.0777,22.4007,20.91,88,93,1.46,CF,1699932631
46,cole harbour,44.6724,-63.4751,1.71,83,9,1.03,CA,1699932632
47,jiuquan,39.7432,98.5174,4.35,28,57,3.03,CN,1699932633
48,abhar,36.1468,49.218,10.68,40,7,1.2,IR,1699932635
49,hawaiian paradise park,19.5933,-154.9731,23.83,93,75,0.45,US,1699932636
50,yellowknife,62.456,-114.3525,-3.71,93,100,6.17,CA,1699932637
51,pandan,14.0453,124.1694,27.59,86,91,7.38,PH,1699932637
52,callao,-12.0667,-77.15,20.95,77,75,5.14,PE,1699932383
53,papatowai,-46.5619,169.4708,15.69,56,59,6.96,NZ,1699932607
54,atafu village,-8.5421,-172.5159,26.82,87,100,5.58,TK,1699932639
55,cabo san lucas,22.8909,-109.9124,27.64,63,0,4.63,MX,1699932043
56,mata-utu,-13.2816,-176.1745,29.12,74,77,4.75,WF,1699932388
57,najaf,31.9985,44.3398,15.88,63,40,0.0,IQ,1699932641
58,tiksi,71.6872,128.8694,-15.48,95,100,2.07,RU,1699932557
59,sundargarh,22.1167,84.0333,24.92,50,99,2.58,IN,1699932642
60,portage la prairie,49.9728,-98.2926,2.84,67,100,5.93,CA,1699932511
61,boda,4.3189,17.4695,21.25,94,93,0.79,CF,1699932644
62,tura,25.5198,90.2201,25.81,60,18,0.65,IN,1699932644
63,iskateley,67.6803,53.1512,-7.77,96,100,4.02,RU,1699932623
64,albany,42.6001,-73.9662,1.52,86,75,0.76,US,1699932375
65,grytviken,-54.2811,-36.5092,1.66,98,100,3.31,GS,1699932646
66,la passe,45.5549,-0.8967,15.13,90,100,3.98,FR,1699932647
67,rabo de peixe,37.8,-25.5833,16.73,99,20,4.12,PT,1699932647
68,deqen,29.9618,90.7188,5.93,28,61,1.87,CN,1699932648
69,zhangye,38.9342,100.4517,4.94,26,71,6.72,CN,1699932649
70,port moresby,-9.4431,147.1797,30.68,51,40,6.17,PG,1699932649
71,hithadhoo,-0.6,73.0833,27.52,79,57,4.64,MV,1699932650
72,qamdo,31.1667,97.2333,1.42,31,36,2.77,CN,1699932650
73,ribeira brava,32.65,-17.0667,20.35,79,4,1.54,PT,1699932651
74,codrington,-38.2667,141.9667,15.85,61,100,4.54,AU,1699932652
75,sola,-13.8833,167.55,27.37,74,100,2.06,VU,1699932652
76,puerto baquerizo moreno,-0.9,-89.6,23.7,83,100,4.25,EC,1699932560
77,yuzhno-kurilsk,44.0306,145.8556,2.43,80,40,9.34,RU,1699932653
78,bredasdorp,-34.5322,20.0403,14.86,82,35,7.47,ZA,1699932629
79,jamestown,42.097,-79.2353,8.77,73,20,6.17,US,1699932595
80,alpu,39.769,30.9606,9.15,86,21,2.78,TR,1699932655
81,tralee,52.2704,-9.7026,10.71,89,100,5.63,IE,1699932597
82,iwanai,42.9744,140.5089,4.1,72,99,4.22,JP,1699932656
83,bandarbeyla,9.4942,50.8122,27.18,79,89,7.4,SO,1699932657
84,isafjordur,66.0755,-23.124,1.5,86,40,2.95,IS,1699932657
85,sabang,5.8933,95.3214,26.69,83,100,5.94,ID,1699932658
86,strezhevoy,60.7333,77.5889,-13.35,96,100,1.34,RU,1699932658
87,aasiaat,68.7098,-52.8699,-10.99,81,100,1.21,GL,1699932594
88,pacocha,-17.5833,-71.3333,18.26,87,68,2.64,PE,1699932659
89,whitehorse,60.7161,-135.0538,-4.57,85,100,2.57,CA,1699932607
90,kita,13.0349,-9.4895,21.44,15,28,2.19,ML,1699932660
91,vorgashor,67.5833,63.95,-12.39,88,100,3.89,RU,1699932662
92,corner brook,48.9667,-57.9484,-0.91,93,58,0.97,CA,1699932604
93,gamba,-2.65,10.0,25.42,87,100,2.54,GA,1699932663
94,kill devil hills,36.0307,-75.676,10.01,78,0,1.54,US,1699932575
95,taltal,-25.4,-70.4833,16.65,74,39,0.52,CL,1699932665
96,aktobe,50.2797,57.2072,2.05,87,0,4.0,KZ,1699932665
97,san rafael,-34.6177,-68.3301,14.84,37,0,2.43,AR,1699932666
